Active component type,Active component type formation energy,Active component type density,Active component content (wt percent),Promoter type,Promoter type formation energy,Promoter type density,Promoter content (wt percent),Support a type,Support a type formation energy,Support a type density,Support a content (wt percent),Support b type,Support b type formation energy,Support b type density,Preparation method,Preparation Scalability,Preparation cost,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time (h),Reduced hydrogen content (vol percent),Temperature (C),Pressure (bar),Weight hourly space velocity [mgcat/(min·ml)],Content of inert components in raw materials (vol percent),h2/co2 ratio (mol/mol),co2 conversion ratio (percent),ch4 selectivity (percent),ch4 yield (percent),Reference
Ni,0.046,9.22,15,Co,0.025,9.2,5,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,2.128,89.182,1.898,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,5,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,7.138,89.324,6.376,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,5,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,31.38,90.515,28.404,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,5,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,62.572,95.259,59.605,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,5,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,72.269,96.531,69.762,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,5,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,450,1,6.67,0,4,71.785,93.926,67.425,[1]
Ni,0.046,9.22,15,Co,0.025,9.2,5,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,500,1,6.67,0,4,68.552,86.638,59.392,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,15,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,200,1,6.67,0,4,1.158,72.386,0.838,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,15,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,250,1,6.67,0,4,0.997,70.427,0.702,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,15,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,300,1,6.67,0,4,1.805,71.699,1.294,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,15,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,350,1,6.67,0,4,4.391,72.002,3.162,[1]
Ni,0.046,9.22,5,Co,0.025,9.2,15,Al2O3,-3.352,3.87,80,None,0,0,MC,4,2,500,3,500,1,2,100,400,1,6.67,0,4,11.825,70.367,8.321,[1]
